func_name,qwen3-4B_ires,qwen3-8B_ires,doubao-embedding-vision-251215_ires
MandatoryWarningHandler.reportDeferredDiagnostic,0.861502615,0.859651625,0.768267604
TagletManager.initCustomTaglets,0.952359609,0.953125674,0.823714098
ObjectOutputStream.writeClassDesc,0.941741622,0.96456097,0.885243345
JavacParser.annotationValue,0.834500724,0.83964126,0.772533732
MathUtils.xVals,0.955312103,0.960965877,0.893545662
DBOutputFormat.getRecordWriter,0.928696766,0.955586694,0.864416623
Instance.allocateSimpleSlot,0.959366187,0.960345375,0.947362579
ClassPathResource.initUrl,0.805107179,0.759911832,0.703355476
MAMatrix.dot,0.981702273,0.982437776,0.934415395
IntegralImageOps.convolve,0.994829426,0.994266764,0.99630241
CmsHistoryProject.getPublishedByName,0.849057769,0.876760722,0.893658807
CacheUtil.getPrefixedCacheName,0.88569975,0.873349479,0.892714035
MapKeyLoaderUtil.getMaxSizePerNode,0.851550282,0.881300211,0.781425497
AggregateOperationFactory.createResolvedWindow,0.909607406,0.945167119,0.88811872
OrientationHistogramSift.computeHistogram,0.807970877,0.852441082,0.701577679
CassandraOutputFormatBase.open,0.864480486,0.875825217,0.837200685
CmsFileExplorer.onClickNew,0.929557437,0.937696739,0.858256196
Group.addEnumeration,0.839390602,0.881073644,0.788898036
ExpressionUtils.transformBinaryConstantExpression,0.834658952,0.88494507,0.827111417
SegmentSlic.perturbCenter,0.932671969,0.924048735,0.868448131
GeneralPurposeFFT_F32_1D.realForwardFull,0.912944958,0.939260204,0.860366789
CDMNode.unwrap,0.928037088,0.895417632,0.881550331
DSequence.externalize,0.83702027,0.84161139,0.774206666
AddOnInstaller.getFilesSafeForUninstall,0.898450667,0.911469929,0.830119276
Broadcast.add,0.996985939,0.996735572,0.98149945
ConfigValidator.checkAndLogPropertyDeprecated,0.885849481,0.867599741,0.870699389
AntlrParserPlugin.mapExpression,0.858338927,0.881575155,0.737557937
Expression.error,0.981507639,0.981072082,0.95106663
GroovyCollections.subsequences,0.920897523,0.916613376,0.793785971
CmsRemoteShellClient.executeCommand,0.915347495,0.835031686,0.855111936
Config.addEventJournalConfig,0.88157381,0.927950147,0.908884477
NetUtils.getIPv6UrlRepresentation,0.81548504,0.880259204,0.723735753
ExtensionAuthentication.getAuthenticationMethodTypeForIdentifier,0.990929585,0.98845994,0.983890071
Navigation.wantRotate,0.744630867,0.766343872,0.781357857
FPGrowth.run,0.961338354,0.905026736,0.84757992
StatisticsEditsVisitor.visit,0.857943412,0.898929119,0.829809122
MLLibUtil.toClassifierPrediction,0.949126679,0.961453331,0.821386816
ExceptionProxy.checkAndThrowException,0.657292571,0.71245646,0.6706394
CameraPlaneProjection.setIntrinsic,0.90446308,0.828370144,0.795144318
AbstractIndexWriter.addDescription,0.911896992,0.947992774,0.874959102
NormalizedKeySorter.readPointer,0.9082821,0.910395373,0.813015545
URI.removeFragmentIdentifier,0.917666913,0.924719736,0.83993941
DataDescriptorTreeConstructor.replicate,0.805679728,0.775611448,0.698919388
ArrayUtil.setOrAppend,0.899899834,0.942444275,0.849624022
GDiscreteFourierTransformOps.phase,0.998329598,0.998560003,0.995916499
LocalDate.atStartOfDay,0.92087764,0.93374432,0.85746123
UtilLepetitEPnP.jacobian_Control4,0.999923722,0.999947397,1
Calendar.setTimeZone,0.777265943,0.762224854,0.600262309
DefaultConvention.findCoordinateName,0.964658881,0.958262345,0.943700252
View.showSessionDialog,0.90568706,0.913829392,0.910600995
InternalPartitionServiceImpl.updatePartitionsAndFinalizeMigrations,0.864317239,0.873348465,0.774067252
JsonSlurper.parse,0.830247226,0.806770126,0.670385503
BinaryExternalSorter.close,0.819196389,0.808437838,0.825503119
CmsPublishEngine.checkCurrentPublishJobThread,0.933545852,0.912485688,0.865743221
AbstractParamDialog.getBtnOK,0.959887046,0.962508837,0.894644523
LoggingUtil.exception,0.999886844,0.99986617,0.99824268
DisparityToColorPointCloud.configure,0.887866253,0.926042929,0.828757705
CardinalityEstimatorContainer.merge,0.94111491,0.902395287,0.885230836
DeprecatedListWriter.generateDeprecatedListFile,0.859247852,0.883494499,0.810670476
ProcfsBasedProcessTree.getCumulativeCpuTime,0.918109188,0.932102761,0.823948984
DataSet.leftOuterJoin,0.999887193,0.999884008,0.999085363
Extension.encode,0.957838097,0.955696096,0.91249845
AbstractNode.addLeafEntry,0.999899794,0.999868954,0.998406875
QueueContainer.offerBackup,0.999859532,0.999924362,0.998797623
DapSerializer.writeAtomicVariable,0.907017773,0.894646697,0.917472358
BinaryImageOps.clusterToBinary,0.974920872,0.959235561,0.936290089
SearchIterator.previous,0.959473954,0.940889164,0.91918229
RuleBasedTransliterator.safeClone,0.970983579,0.981952185,0.935044154
KeyUtil.getAlgorithmAfterWith,0.954492317,0.949093047,0.832557859
ExecutionJobVertex.connectToPredecessors,0.892548334,0.847578598,0.758060469
HydrogenAtom.matches,0.833515563,0.863564058,0.738531073
FsStateBackend.createCheckpointStorage,0.930847568,0.900467482,0.833834419
VersionCheck.checkVersions,0.848645293,0.830554712,0.761383755
FindDialog.getBtnCancel,0.981912049,0.988388594,0.971936866
JShellTool.printEvalException,0.84606253,0.869133495,0.755707395
CmsXmlGroupContainer.fillResource,0.834418323,0.837636682,0.808386229
JobTracker.getReasonForBlackList,0.894604685,0.917306368,0.836601624
PoissonDistribution.rawProbability,0.926758986,0.940761433,0.92310238
