func_name,sample_id,qwen3-4B_ires,qwen3-8B_ires,doubao-embedding-vision-251215_ires
OptionsSpiderPanel.getHandleODataSpecificParameters,149,0.9937853648061729,0.9970042095088794,0.9927191296476138
QrCodeDecoderBits.applyErrorCorrection,111,0.8982241643411097,0.8797041238935859,0.8115234986446824
MemoryFileManager.hasLocation,158,0.9954661185948648,0.9837452617964826,0.9899588720109178
DefaultGroovyMethods.min,53,0.9761284912063396,0.9514501064932299,0.9314570945102648
JavacMessages.instance,63,0.9451856733569245,0.9699701955790222,0.9704884246349013
DataSet.squishToRange,69,0.9116119047696416,0.9291609488624805,0.8628947279109463
StandardGenerator.generateAnnotation,153,0.8847742094610069,0.8700736596792733,0.7952078752395748
TabbedPanel2.setTitleAt,176,0.9292292310317354,0.9363518638356759,0.9023603547318944
HttpResponse.writeBody,163,0.8468068198963483,0.8599947831500391,0.7945757954079411
NetworkBufferPool.destroyAllBufferPools,159,0.9116951064819104,0.9171614606377413,0.861029710888623
Packet.setPacketType,167,0.7496618189199618,0.7289447181131936,0.8014156545262617
JdiInitiator.listenTarget,139,0.8141371697287042,0.8759699009075628,0.7671642546090744
AvatarNode.getProtocolVersion,112,0.9951961334054561,0.9902605038884827,0.9863428412354661
CmsSecurityManager.readOwner,122,0.990281687699392,0.9949171914519535,0.9795235364254122
File.getAbsolutePath,136,0.8053302937010983,0.7782565517228492,0.7221564134955426
GHistogramFeatureOps.histogram,138,0.9698610426996077,0.964455736466086,0.9262875427221413
JavacParser.enumeratorDeclaration,25,0.9154551122366044,0.9278298168455674,0.8908895414880151
WorkbenchPanel.setPanelsVisible,125,0.999927076260998,0.999898115202952,0.9987307839709514
RStarTreeKNNQuery.batchNN,155,0.9540275786981162,0.9602528760795198,0.9021724463626196
JavacParser.basicType,40,0.7672686867305171,0.8035249385878347,0.7632381551168771
FastCopy.alignDatanodes,18,0.9867182492275373,0.9742067071703917,0.9355147921456906
Invocation.initInvocationTarget,133,0.8466380436733154,0.842794621701781,0.7660196924278031
EnumUtil.getNames,192,0.9999272092650207,0.9999047949777982,1.0
AtomValenceDescriptor.calculate,199,0.91944422914849,0.9068646298910465,0.9118607468298854
ClusterManager.checkResourceRequestLimit,84,0.8875153622792593,0.8786029004648751,0.8047357669831765
StaticTypeCheckingSupport.isAssignableTo,162,0.9428402333870297,0.9261996398854342,0.7556453541081665
ClosureSignatureHint.pickGenericType,116,0.9208557240258185,0.8922627403669645,0.8745951619398528
ServerView.inputChanged,131,0.9219394956838501,0.9226776469317224,0.8899832412763302
HttpPrefixFetchFilter.normalisedPort,145,0.8954874043777233,0.911383146658297,0.84855640341903
CmsProperty.isIdentical,180,0.9139452306356153,0.9239651916407613,0.8415534713559374
ElasticsearchUtils.convertInetSocketAddresses,178,0.9548645673997322,0.9596369922708173,0.8600543081442574
CanvasSize.clipToMargin,168,0.9330014627103828,0.9255760784522923,0.8722830062331902
SameSizeKMeansAlgorithm.initializeMeta,181,0.9812231807938592,0.9678062817280565,0.9668148205499288
ScanProgressDialog.getJScrollPane,35,0.9399508710825146,0.9420848701276552,0.8975354222383719
ProcessGroovyMethods.consumeProcessErrorStream,161,0.9723758157665653,0.9827807201225123,0.9173291949692369
JumboCyclicVertexSearch.toArray,8,0.9692044784578426,0.9892127312934762,0.9433473471121006
GradientSobel_UnrolledOuter.process_F32_sub,144,0.962089353285093,0.9671114930277517,0.9432569994253244
GammaDistribution.logpdf,179,0.9769242409456049,0.9708310995408909,0.9462609524152834
AbstractMapWritable.write,190,0.8670726947361798,0.8795734705083031,0.8171326761201372
SiteMap.handleEvent,183,0.8256543512013906,0.8933295774636166,0.8404764945329085
CommonCache.clearAll,189,0.687454628379863,0.7187824736636986,0.714224955128183
Utils.findClass,186,0.8027659024813841,0.8719141905778409,0.8067071611802689
TimeSeriesUtils.reshapeTimeSeriesMaskToVector,172,0.9403590798247149,0.9377032718721413,0.8945793901370062
Config.getMapEventJournalConfig,198,0.9998780925467617,0.9998872701548734,0.9985594944507237
Sql.executeQuery,206,0.9999126525033516,0.9998593828066384,0.9991443681815567
UPropertyAliases.getPropertyName,210,0.933612300646335,0.9474346911057178,0.8771718598463943
FactoryPyramid.discreteGaussian,202,0.785624599565653,0.9024629349701595,0.8179939508737161
CmsPropertyAdvanced.buildEditForm,166,0.8101502842828548,0.8501399089606012,0.773487439500118
Number.operate,211,0.9953926783785539,0.9904711535185173,0.9751915983349835
Script.println,214,0.9949651418358667,0.977736509572184,0.9659774754354655
Graph.dfs,208,0.8882403015612176,0.9176251763345626,0.844850436176437
ExtensionHook.getHttpSenderListeners,216,0.9998632401804256,0.9999999999999998,0.9974265330180198
