func_name,sample_id,k0_ires,k1_ires,k2_ires,k3_ires,k4_ires,k5_ires,k6_ires,k7_ires,k8_ires,k9_ires,k10_ires
Calendar.getPatternData,6,0.8506978218799612,0.9740518927574158,0.9520564079284668,0.9631535801397632,0.9613872170448303,0.9464539885520935,0.9514868855476379,0.9721850752830505,0.9719434380531311,0.9601165652275085,0.942173182964325
SpiderHtmlFormParser.processGetForm,17,0.8806449939500196,0.9021701216697693,0.9338066577911377,0.900952950785514,0.9169065356254578,0.8798251152038574,0.8798251152038574,0.8689166307449341,0.9114820957183838,0.9109975695610046,0.9099195003509521
DefaultGroovyMethods.trunc,45,0.9315742781485481,0.9320523738861084,0.9319027662277222,0.9064891588507735,0.9319027662277222,0.9320523738861084,0.9320523738861084,0.9320523738861084,0.9319027662277222,0.9320523738861084,0.9319027662277222
Selector.getSelector,51,0.9019885311550203,0.8827147483825684,0.9504097700119019,0.9418419673065177,0.9425905346870422,0.9418270587921143,0.9176062941551208,0.9176062941551208,0.9416064023971558,0.9416064023971558,0.9462202787399292
TaskController.destroyTaskJVM,41,0.886044009856877,0.9059644341468811,0.8791342377662659,0.8429278033647372,0.8110665082931519,0.8787916302680969,0.8822460174560547,0.873909592628479,0.8762069940567017,0.8658233880996704,0.8802394866943359
SubWriterHolderWriter.addMemberTree,80,0.9033942072622074,0.9116096496582031,0.9821374416351318,0.9786971986046774,0.9823719263076782,0.9823719263076782,0.9823719263076782,0.9821374416351318,0.9821374416351318,0.9846181869506836,0.9850678443908691
ArrayUtils.append,85,0.84370848318985,0.8951916098594666,0.9694133996963501,0.8762029209652545,0.9694133996963501,0.9687353372573853,0.8948701620101929,0.9694133996963501,0.8950509428977966,0.8948701620101929,0.8950509428977966
FactoryThresholdBinary.localGaussian,86,0.9167409120013148,0.994691014289856,0.9947277307510376,0.9605817187879846,0.9945946335792542,0.9949987530708313,0.9947307109832764,0.9946617484092712,0.9946617484092712,0.999914288520813,0.9946617484092712
RestApiConfig.disableGroups,94,0.8828136759260856,1.0,1.0,1.0,1.0,0.999913215637207,0.999913215637207,1.0,1.0,0.999913215637207,1.0
TaskInProgress.addRunningTask,15,0.8092835903735074,0.7800042033195496,0.7893244624137878,0.7825821671295965,0.7986188530921936,0.8188589215278625,0.79033362865448,0.8143357634544373,0.8135641813278198,0.8140143156051636,0.6858821511268616
InvCatalogFactory.readXMLasynch,16,0.8620127259880708,0.8624056577682495,0.8540865778923035,0.78515782911005,0.8684054613113403,0.868974506855011,0.868974506855011,0.8609391450881958,0.8563390374183655,0.8609391450881958,0.8324592709541321
CmsContentService.getChangeHandlerScopes,81,0.9037791673976371,0.9362597465515137,0.9454178214073181,0.9050507529966156,0.9454184174537659,0.9546869993209839,0.9528285264968872,0.9476898908615112,0.9524587392807007,0.9528285264968872,0.9524587392807007
Sql.inout,22,0.9078575771530928,0.9164302945137024,1.0,0.9998543724470597,0.99991375207901,0.9999050498008728,0.9999050498008728,0.9999050498008728,1.0,0.9999050498008728,1.0
VariableScopeVisitor.pushState,89,0.865122658967792,0.9006867408752441,0.9006867408752441,0.9304354863855078,0.8746193051338196,0.8746193051338196,0.8740411400794983,0.8746193051338196,0.8746193051338196,0.8740411400794983,0.8746193051338196
CmsEmbeddedDialogHandler.onSiteOrProjectChange,99,0.9353446876741767,1.0000001192092896,1.0000001192092896,0.9917348646007765,0.9999008178710938,0.999913215637207,0.999913215637207,1.0000001192092896,1.0000001192092896,0.999913215637207,1.0000001192092896
MathUtil.binomialCoefficient,95,0.9225028414728521,0.9302608370780945,0.9302608370780945,0.8913364251531456,0.9299353361129761,0.929894208908081,0.929894208908081,0.9032371044158936,0.9032371044158936,0.9041298627853394,0.9302608370780945
DefaultGroovyMethods.min,53,0.9032330361637032,0.9513676166534424,0.9515420794487,0.9514501064932299,0.9519749283790588,0.9515420794487,0.9519749283790588,0.9519749283790588,0.9515420794487,0.9515420794487,0.9515420794487
