func_name,\texttt{R2E}$_{\text{C1}}$,\texttt{R2E}$_{\text{C3}}$,\texttt{R2E}$_{\text{C4}}$,\texttt{R2E}$_{\text{C5}}$,\texttt{R2E}$_{\text{C6}}$,\texttt{R2E}$_{\text{C7}}$,\texttt{R2E}$_{\text{C8}}$,\texttt{R2E}$_{\text{C9}}$,\texttt{R2E}$_{\text{C2}}$
BytecodeHelper.hasGenerics,0.944173176,0.903455921,0.889869439,0.88746109,0.878923778,0.958967484,0.902001594,0.957151244,0.902091668
GradientActivity.onDrawFrame,0.776824202,0.99622679,0.996098282,0.996240011,0.995988655,0.99620288,0.996066295,0.996117144,0.996240011
ImgUtil.getWriter,0.874617781,0.903979707,0.92082222,0.895017521,0.950527188,0.898802928,0.887508932,0.949121189,0.890809352
ProteinPocketFinder.gridToPmesh,0.775391475,0.940101685,0.940983818,0.750118284,0.853057405,0.939251909,0.940350108,0.855329673,0.751157176
X509CertImpl.toImpl,0.877460683,0.995803352,0.96191499,0.919639558,0.96648521,0.872434149,0.856281839,0.961139945,0.946145055
TypeCheckingExtension.isStaticMethodCallOnClass,0.902322316,0.916026712,0.939811158,0.885433346,0.926165001,0.946970149,0.939217717,0.940047633,0.851145701
NameNodeSafeModeInfo.reportStatus,0.742889655,0.830371509,0.87728532,0.812672304,0.835952615,0.821785991,0.835055359,0.842128646,0.778345816
AutoBatcher.newId,0.469012362,0.727136408,0.772263771,0.552784376,0.694690023,0.673313157,0.761551904,0.74167342,0.784875442
CmsAddDialogTypeHelper.getResourceTypes,0.899304622,0.958773586,0.955265437,0.882291628,0.950015858,0.894092109,0.96320878,0.951954412,0.89019362
FactoryKernelGaussian.gaussian2D_F32,0.866970512,0.955804524,0.951939968,0.86795513,0.949736023,0.955924522,0.955071939,0.954190351,0.915781296
ChemFileManipulator.getBondCount,0.999935637,0.999923872,0.999900478,0.99990895,1,0.999937211,0.999936879,1,0.999903267
ParamTaglet.processParamTag,0.940777504,0.933677225,0.948836266,0.965447705,0.900351688,0.950621713,0.971608712,0.950667576,0.922436083
AbstractPlainSocketImpl.create,0.855994579,0.883438557,0.828928887,0.836181964,0.83702207,0.850646239,0.830908631,0.882050786,0.861459907
AdminDebugController.showDebugPage,0.701287142,0.683234049,0.723284133,0.756491144,0.765771053,0.782235281,0.69038226,0.774441492,0.700655869
InternalPartitionServiceImpl.applyNewPartitionTable,0.837204041,0.91277286,0.924583812,0.909848235,0.934208667,0.92294542,0.9242305,0.909075048,0.917047598
Functionizer.setFunctionCaller,0.692403958,0.851186782,0.809518787,0.823998486,0.800452666,0.842348656,0.839907282,0.79791373,0.843121079
AWIPSsatConvention.getAxisType,0.937505904,0.958699683,0.96959839,0.938854742,0.956505868,0.937724991,0.949127271,0.950079885,0.968362985
NetUtil.buildInetSocketAddress,0.832045636,0.924477412,0.941077192,0.875273481,0.929737053,0.923204441,0.944869361,0.966641363,0.959227496
EnumUtil.getNameFieldMap,0.996247843,0.996072219,0.996219704,0.996450556,0.996267505,0.99635955,0.996510219,0.995842745,0.995784153
GridGenerator.gridToGridArray,0.873461937,0.963530515,0.913126153,0.924727233,0.904687445,0.930309599,0.879029402,0.881488809,0.888086608
Calendar.computeTime,0.673769011,0.802400988,0.840509257,0.878921344,0.843114442,0.882800098,0.882207623,0.878769322,0.828882096
ValidationUtils.validate4NonNegative,0.999922373,0.999905867,0.999913063,0.999927552,0.999913063,1,0.999919963,0.999885259,1
ServletUtil.readCookieMap,0.919011372,0.965362856,0.984533305,0.964070453,0.966910415,0.965423675,0.965600679,0.985150129,0.966162229
BigDecimal.intValueExact,0.999913476,0.991463744,0.999905557,0.99115669,0.999908332,1,0.999939407,0.999901631,0.99112659
Nc4DSP.find,0.911687504,0.911502078,0.92516064,0.926731458,0.923064172,0.937220177,0.925903201,0.930705589,0.929757988
GroovydocManager.handle,0.628398761,0.923208896,0.931620388,0.952934763,0.977909855,0.923896448,0.947735437,0.938712288,0.970451988
UKMeans.assignToNearestCluster,0.935531857,0.951989008,0.948891323,0.947972162,0.946037039,0.957077676,0.950729636,0.951524494,0.931869347
NumericSummaryAggregator.combine,0.939984996,0.927724268,0.941148222,0.929812102,0.928756478,0.92891312,0.914463685,0.962929884,0.933271469
SimpleNode.dump,0.70250905,0.955198754,0.936860783,0.954583402,0.931405564,0.954502514,0.932223118,0.991517416,0.954473725
FormatUtil.format,0.84259361,0.916962828,0.916777206,0.807700527,0.886200248,0.81177776,0.917729216,0.909341938,0.840386288
JsonObjectMapperParser.getNext,0.389884527,0.781538093,0.78167334,0.602860862,0.66190191,0.569681455,0.719682818,0.619905506,0.595867428
CmsStringUtil.joinPaths,0.787612108,0.815732225,0.807383659,0.813491767,0.815380964,0.819089765,0.805387643,0.813190808,0.829619827
CmsSearchIndex.appendCategoryFilter,0.957813441,0.99895966,0.999034369,0.954198049,0.998962505,0.998928633,0.998622484,0.998962767,0.998800498
InvDatasetFeatureCollection.makeCatalogTop,0.715834226,0.849758916,0.762209319,0.730659551,0.83760551,0.869740416,0.957832965,0.800527107,0.87285901
GeneralPurposeFFT_F32_2D.realForward,0.929750926,0.929452964,0.928561826,0.930443872,0.930277252,0.930452735,0.928399918,0.939725683,0.929458085
HttpMethodBase.getCookieSpec,0.778513823,0.868548616,0.867814618,0.854352368,0.853264997,0.819869414,0.83095816,0.866442864,0.820180337
FileUtil.readString,0.925540287,0.925434929,0.91516253,0.940735126,0.9581857,0.93974335,0.91537732,0.958009841,0.939209624
HazelcastServerCachingProvider.getOrCreateByInstanceName,0.932762622,0.932205592,0.991318996,0.93227655,0.990931877,0.932066169,0.917766486,0.932114892,0.932396465
GridVariable.showMissing,0.523732802,0.737388566,0.783818856,0.684934318,0.78905326,0.701511189,0.776306814,0.799429111,0.843173636
CmsEditPointer.getOldTargetValue,0.742961609,0.870213291,0.843775685,0.948940836,0.850577125,0.838589639,0.819775074,0.841180029,0.760191619
RocksDBIncrementalRestoreOperation.createAndRegisterColumnFamilyDescriptors,0.956612908,0.95014238,0.974492027,0.941802255,0.960776333,0.959844618,0.952404851,0.96052098,0.944067418
DatanodeBlockInfo.detachFile,0.779021154,0.835151399,0.838661791,0.88543148,0.885586161,0.871086119,0.808375261,0.869855102,0.830867676
CmsMessages.key,0.797728584,0.928231348,0.9269413,0.928523011,0.947244603,0.927009094,0.935704913,0.927864562,0.927197795
ClusterJoinManager.sendJoinRequest,0.889561218,0.919130345,0.921395053,0.888570989,0.894001755,0.883735006,0.882842789,0.892341928,0.916973588
AbstractCaptcha.write,0.746719688,0.903084947,0.953108294,0.854220784,0.904220338,0.913823285,0.798339633,0.954206259,0.915389643
FileUtil.copyFile,0.859287415,0.869436851,0.882551104,0.852829355,0.885627967,0.904648689,0.90922852,0.888274395,0.857784369
PrettyMarkers.plotMarker,0.83091916,0.831463312,0.805465183,0.768598551,0.80777293,0.861864332,0.821344305,0.856565206,0.779848163
FSInputStream.readFullyScatterGather,0.725548928,0.829284547,0.673502275,0.737283896,0.96531925,0.760013433,0.783340558,0.817720038,0.821825663
McIDASLookup.getLevelUnit,0.87206287,0.962044159,0.902268149,0.890421546,0.93664324,0.773567006,0.885755421,0.874099191,0.929646093
BasicAtomGenerator.generate,0.869085617,0.949693807,0.985807234,0.941361128,0.986061209,0.985603213,0.985873676,0.9362207,0.985650343
AlphabeticIndex.buildImmutableIndex,0.740825369,0.881995617,0.858121002,0.863565086,0.844573705,0.890285452,0.822504022,0.899397976,0.861921496
WideningCategories.parameterizeLowestUpperBound,0.924040477,0.932077346,0.89779243,0.921898718,0.924676106,0.925653275,0.900575385,0.933353799,0.938497791
CmsSearchIndex.isInTimeRange,0.855748553,0.924907046,0.926290583,0.910027177,0.934128086,0.925697423,0.909127088,0.910252264,0.905675309
