func_name,qwen3-8B_ires,doubao-embedding-vision-251215_ires,qwen3-4B_ires
IdentityTemplateLibrary.encodeCoordinates,0.924543383,0.818130947,0.909283021
FindDialog.getJPanel1,0.995689469,0.989069696,0.994650307
LabelAwareUimaSentenceIterator.currentLabel,0.731298837,0.623277625,0.718237028
Convert.toSBC,0.956610812,0.936004616,0.945264407
DenseFlowPyramidBase.interpolateFlowScale,0.832597384,0.710009654,0.827679066
KeyedStream.validateKeyTypeIsHashable,0.760105733,0.720888529,0.757120001
MandatoryWarningHandler.reportDeferredDiagnostic,0.859651625,0.768267604,0.861502615
TagletManager.initCustomTaglets,0.953125674,0.823714098,0.952359609
ObjectOutputStream.writeClassDesc,0.96456097,0.885243345,0.941741622
JavacParser.annotationValue,0.83964126,0.772533732,0.834500724
MathUtils.xVals,0.960965877,0.893545662,0.955312103
DBOutputFormat.getRecordWriter,0.955586694,0.864416623,0.928696766
Instance.allocateSimpleSlot,0.960345375,0.947362579,0.959366187
ClassPathResource.initUrl,0.759911832,0.703355476,0.805107179
MAMatrix.dot,0.982437776,0.934415395,0.981702273
IntegralImageOps.convolve,0.994266764,0.99630241,0.994829426
CmsHistoryProject.getPublishedByName,0.876760722,0.893658807,0.849057769
CacheUtil.getPrefixedCacheName,0.873349479,0.892714035,0.88569975
MapKeyLoaderUtil.getMaxSizePerNode,0.881300211,0.781425497,0.851550282
AggregateOperationFactory.createResolvedWindow,0.945167119,0.88811872,0.909607406
OrientationHistogramSift.computeHistogram,0.852441082,0.701577679,0.807970877
CassandraOutputFormatBase.open,0.875825217,0.837200685,0.864480486
CmsFileExplorer.onClickNew,0.937696739,0.858256196,0.929557437
Group.addEnumeration,0.881073644,0.788898036,0.839390602
ExpressionUtils.transformBinaryConstantExpression,0.88494507,0.827111417,0.834658952
SegmentSlic.perturbCenter,0.924048735,0.868448131,0.932671969
GeneralPurposeFFT_F32_1D.realForwardFull,0.939260204,0.860366789,0.912944958
CDMNode.unwrap,0.895417632,0.881550331,0.928037088
DSequence.externalize,0.84161139,0.774206666,0.83702027
AddOnInstaller.getFilesSafeForUninstall,0.911469929,0.830119276,0.898450667
Broadcast.add,0.996735572,0.98149945,0.996985939
ConfigValidator.checkAndLogPropertyDeprecated,0.867599741,0.870699389,0.885849481
AntlrParserPlugin.mapExpression,0.881575155,0.737557937,0.858338927
Expression.error,0.981072082,0.95106663,0.981507639
GroovyCollections.subsequences,0.916613376,0.793785971,0.920897523
CmsRemoteShellClient.executeCommand,0.835031686,0.855111936,0.915347495
Config.addEventJournalConfig,0.927950147,0.908884477,0.88157381
NetUtils.getIPv6UrlRepresentation,0.880259204,0.723735753,0.81548504
ExtensionAuthentication.getAuthenticationMethodTypeForIdentifier,0.98845994,0.983890071,0.990929585
Navigation.wantRotate,0.766343872,0.781357857,0.744630867
