func_name,k0_ires,k1_ires,k2_ires,k3_ires,k4_ires,k5_ires,k6_ires,k7_ires,k8_ires,k9_ires,k10_ires
Graph.printGraph,0.727338116,0.960620582,0.931516469,0.773990276,0.926669538,0.944213629,0.944213629,0.944213629,0.944377065,0.944213629,0.944377065
Mac.getInstance,0.758270058,0.997013211,0.995750427,0.996726202,0.995750427,0.995762229,0.995762229,0.995762229,0.995750427,0.995762229,0.997013211
CmsSecurityManager.setPassword,0.87870015,0.986155689,0.992721498,0.993221727,0.990771532,0.99107796,0.983361363,0.993399978,0.995086849,0.99088937,0.985872388
BigDecimal.compareMagnitude,0.91158037,0.952218533,0.972681522,0.946037416,0.971721828,0.959826112,0.957617819,0.967382252,0.9603706,0.961564362,0.952218533
SM2Engine.encrypt,0.822331295,0.831242144,0.875650287,0.861339504,0.844390988,0.847120583,0.872475684,0.851688147,0.884958804,0.892497838,0.801758468
SystemUtil.getIntegerSafe,0.936301541,0.925151169,0.908150613,0.937094324,0.925817549,0.925151169,0.923554778,0.925151169,0.925817549,0.908832788,0.925151169
NNStorage.checkSchemeConsistency,0.854107295,0.812768519,0.828938544,0.797683714,0.805737615,0.809782147,0.814690888,0.815559387,0.814949632,0.815559387,0.814949632
HardLink.createIOException,0.810988677,0.747591734,0.836619079,0.820119489,0.82124871,0.82369417,0.823558748,0.820777595,0.809085608,0.802678764,0.799522102
HtmlDocWriter.getPkgName,0.990706661,0.990621388,0.990850151,0.961448203,0.990850151,0.990621388,0.990509689,0.990509689,0.990583718,0.944384098,0.991050482
JavacFileManager.setContext,0.811677562,0.851658344,0.908288956,0.831536192,0.910305619,0.978518128,0.931207597,0.925695777,0.925805867,0.924396813,0.923049569
Graph.optimalRoot,0.784333783,0.728205919,0.735783517,0.851748673,0.871663332,0.908854961,0.889410019,0.90354234,0.933460593,0.90354234,0.890154004
CmsVfsImportExportHandler.setFileName,0.854296635,0.861504793,0.843149722,0.90479062,0.843785942,0.838994145,0.868737459,0.869178891,0.881907344,0.875904799,0.867438734
ExtensionLoader.removeProxyServer,0.906909313,0.999889255,0.999878168,0.999885425,0.999881327,0.999889255,0.999889255,0.999889255,1,0.999889255,0.999881327
QueueContainer.getBackupMap,0.914507293,0.969530106,0.969530106,0.957515183,0.956879735,0.957393289,0.957393289,0.957393289,0.956879735,0.957393289,0.956879735
SchedulerForType.commitMatchedResource,0.852524423,0.855740726,0.86899364,0.863139328,0.872460186,0.892150223,0.865882814,0.884031832,0.888851225,0.86374402,0.885586023
KDDTask.run,0.872549251,0.864448845,0.87742269,0.877348831,0.866730213,0.865840316,0.891776919,0.879708409,0.886316538,0.875688195,0.884147286
HttpMethodBase.getResponseBody,0.875389273,0.777552247,0.799849033,0.805712725,0.826417804,0.815340877,0.878031015,0.852969885,0.873005748,0.852969885,0.858011246
CmsSliderBar.setColorSelectMode,0.777905661,0.882270396,0.879945874,0.86763556,0.885765314,0.888610125,0.885309458,0.881266952,0.880329192,0.886695385,0.894699872
ExcelReader.readAsText,0.93068663,1,0.956846058,0.958657644,0.956846058,0.956340969,0.956846058,0.956340969,0.961993754,0.956846058,0.956846058
CmsXmlSeoConfiguration.load,0.858543675,0.782619417,0.81099838,0.882042578,0.872353733,0.866075456,0.876093566,0.87616086,0.873214781,0.879790246,0.867172897
PruneStructureFromSceneMetric.pruneObservationsBehindCamera,0.861650358,0.951466501,0.973818183,0.971278886,0.967525244,0.970709562,0.963766336,0.963481307,0.968420267,0.966796577,0.971327722
ToXMLStream.startPreserving,0.757499316,0.999892533,0.999892533,0.976197595,0.999924064,0.999892533,0.999892533,0.999892592,0.999892533,0.999892592,0.999892533
ConvolveImageMean.vertical,0.870303549,0.846055925,0.985411882,0.954173324,0.983995914,0.954173386,0.956006885,0.955996692,0.985302389,0.954702914,0.947650254
BaseUnderSamplingPreProcessor.calculateBernoulli,0.87472256,0.882516623,0.866956055,0.90593437,0.870906651,0.914063036,0.861728847,0.899299383,0.869783461,0.847208798,0.895881593
CmsVfsConfiguration.setXsdTranslationEnabled,0.906199716,0.999925017,0.999909937,0.999888478,0.999896765,0.999925017,0.999896765,0.999925017,0.999896765,0.999884665,0.999925017
ResultService.validate,0.717740948,0.818859994,0.981054127,0.813785064,0.782532454,0.781613946,0.783523798,0.783148527,0.782532454,0.783148527,0.782532454
HeaderInputStream.getMoreBytes,0.83612708,0.856153727,0.764720798,0.800438032,0.792190254,0.841984868,0.604145646,0.799777567,0.866615295,0.772371292,0.728006601
AbstractKMeans.sparseMeans,0.953637939,0.971799731,0.982122302,0.986620041,0.980697632,0.983294427,0.983223796,0.983023643,0.980697632,0.980195224,0.983023643
TypeTransformers.selectNumberTransformer,0.778131074,0.759035885,0.791633546,0.789308958,0.771335185,0.792524755,0.800256312,0.803810179,0.809797227,0.766586959,0.764438093
TechnologyTreePanel.getTechSet,0.921158177,0.935045183,0.916689992,0.984457507,0.937486768,0.973944485,0.914872885,0.9201594,0.952022493,0.949079692,0.917018414
BrowserDialog.initialize,0.870237335,0.761745214,0.765016496,0.878313746,0.93289721,0.923584104,0.93289721,0.92832303,0.93289721,0.930475831,0.921006083
KerasDepthwiseConvolution2D.getOutputType,0.957008147,0.999916196,0.999911368,0.987634055,0.999907494,0.998401105,0.998401046,0.998401105,0.998379946,0.998401046,0.998379946
Traits.isBridgeMethod,0.896425404,0.895517826,0.896725178,0.894468754,0.895596564,0.859537303,0.858305037,0.859537303,0.858305037,0.858305037,0.858305037
SpatialUtil.contains,0.8972593,0.92048502,0.920734048,0.920624674,0.920733929,0.92048502,0.920734048,0.92048502,0.920734048,0.920734048,0.921351075
MapContainer.hasPublisherWithMerkleTreeSync,0.960169932,0.970400035,0.972854137,0.98485529,0.971575141,0.975176632,0.975176632,0.975176632,0.989839196,0.989832401,0.975523472
MultiLayerConfiguration.getMemoryReport,0.878660716,0.962724328,0.866976619,0.957297357,0.863098085,0.858720958,0.867143512,0.867085755,0.866339743,0.859786212,0.849323273
